                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.97558,                0.44161,                 1.0791,                  0.962,                0.93773,                0.97848,                0.64188,                 1.2889,                0.47534,                  1.266,               0.003004,               0.003004,               0.003004
                    108,                0.96604,                0.43738,                  1.075,                0.96013,                0.93234,                0.97463,                0.64083,                 1.2948,                0.47117,                 1.2754,               0.002938,               0.002938,               0.002938
                    109,                0.97122,                0.43562,                 1.0753,                0.95784,                0.94108,                0.97587,                0.64794,                 1.2902,                0.47082,                 1.2613,               0.002872,               0.002872,               0.002872
                    110,                0.96544,                0.43433,                 1.0763,                0.96674,                0.92974,                0.97316,                0.64482,                 1.2773,                0.47501,                 1.2589,               0.002806,               0.002806,               0.002806
                    111,                 0.9578,                0.43129,                 1.0671,                0.97033,                 0.9359,                0.97731,                0.64787,                 1.2813,                0.47779,                 1.2716,                0.00274,                0.00274,                0.00274
                    112,                0.94319,                0.42555,                 1.0574,                0.94495,                0.95368,                0.97362,                0.65077,                 1.2724,                0.46393,                 1.2717,               0.002674,               0.002674,               0.002674
                    113,                0.95245,                0.43342,                 1.0692,                0.95886,                0.94165,                0.97712,                0.64458,                 1.2871,                0.47718,                 1.2785,               0.002608,               0.002608,               0.002608
                    114,                0.95402,                0.42908,                 1.0667,                0.95081,                 0.9437,                0.97161,                0.64397,                 1.2804,                 0.4736,                 1.2686,               0.002542,               0.002542,               0.002542
                    115,                0.95281,                0.42544,                 1.0654,                0.96432,                0.94108,                0.97656,                0.64317,                  1.289,                0.46985,                 1.2827,               0.002476,               0.002476,               0.002476
                    116,                0.94614,                0.42527,                 1.0569,                0.95738,                0.94949,                0.97494,                0.64497,                 1.2893,                0.47713,                 1.2737,                0.00241,                0.00241,                0.00241
                    117,                0.93747,                0.41996,                 1.0554,                0.96852,                0.92424,                0.97378,                0.64469,                 1.2795,                0.47752,                 1.2644,               0.002344,               0.002344,               0.002344
                    118,                0.94359,                0.42244,                 1.0599,                0.97363,                 0.9322,                0.97381,                0.64499,                 1.2822,                0.47601,                 1.2709,               0.002278,               0.002278,               0.002278
                    119,                0.93472,                0.42156,                 1.0524,                0.96521,                0.94276,                0.97455,                0.64915,                 1.2862,                0.47098,                 1.2857,               0.002212,               0.002212,               0.002212
                    120,                0.93879,                0.41988,                 1.0568,                0.96395,                0.94534,                0.97295,                0.64437,                 1.2753,                0.47344,                 1.2842,               0.002146,               0.002146,               0.002146
                    121,                0.92807,                 0.4182,                 1.0498,                0.96351,                0.93337,                 0.9733,                0.64759,                 1.2754,                0.47571,                 1.2861,                0.00208,                0.00208,                0.00208
                    122,                0.92771,                0.41829,                 1.0529,                0.97104,                0.92424,                0.97005,                0.64396,                 1.2821,                0.47547,                 1.2828,               0.002014,               0.002014,               0.002014
                    123,                0.92945,                0.41395,                  1.055,                0.96758,                0.94613,                0.97989,                0.65008,                 1.2731,                 0.4646,                 1.2795,               0.001948,               0.001948,               0.001948
                    124,                0.92426,                0.41248,                 1.0512,                0.96888,                0.93939,                0.97642,                0.65189,                 1.2751,                0.46302,                 1.2861,               0.001882,               0.001882,               0.001882
                    125,                0.91714,                0.41181,                 1.0497,                0.97213,                0.93968,                0.97298,                0.64706,                 1.2785,                0.47035,                 1.2852,               0.001816,               0.001816,               0.001816
                    126,                0.93171,                0.41763,                 1.0562,                0.96898,                0.94673,                0.97596,                0.65068,                 1.2733,                 0.4756,                 1.2719,                0.00175,                0.00175,                0.00175
                    127,                0.91703,                0.41344,                 1.0469,                0.96946,                0.95286,                0.97779,                0.65014,                 1.2692,                0.46908,                 1.2702,               0.001684,               0.001684,               0.001684
                    128,                0.91513,                0.41051,                 1.0474,                0.96742,                0.94276,                0.97458,                  0.647,                 1.2815,                0.47077,                 1.2767,               0.001618,               0.001618,               0.001618
                    129,                0.91532,                 0.4108,                  1.045,                0.95925,                0.95122,                 0.9755,                0.64311,                 1.2806,                0.46217,                 1.2805,               0.001552,               0.001552,               0.001552
                    130,                0.90754,                0.40542,                 1.0401,                 0.9587,                 0.9379,                 0.9744,                0.64559,                 1.2793,                0.46717,                 1.2779,               0.001486,               0.001486,               0.001486
                    131,                 0.8984,                0.40303,                 1.0364,                0.96387,                0.94313,                0.97693,                0.65147,                  1.269,                0.46543,                  1.275,                0.00142,                0.00142,                0.00142
                    132,                 0.9047,                0.40501,                 1.0427,                0.96877,                0.94016,                0.97789,                 0.6522,                 1.2646,                0.46941,                 1.2755,               0.001354,               0.001354,               0.001354
                    133,                0.89063,                0.39727,                 1.0364,                0.95277,                0.95118,                0.97748,                0.65036,                  1.276,                0.46879,                 1.2783,               0.001288,               0.001288,               0.001288
                    134,                0.89771,                0.40219,                 1.0388,                0.96702,                0.93098,                0.97913,                 0.6531,                 1.2771,                0.47423,                 1.2764,               0.001222,               0.001222,               0.001222
                    135,                0.89432,                0.40331,                 1.0295,                 0.9669,                0.93439,                 0.9771,                0.65039,                 1.2735,                0.47138,                 1.2711,               0.001156,               0.001156,               0.001156
                    136,                0.90206,                0.40138,                  1.041,                0.97522,                0.92751,                0.97622,                0.65052,                 1.2783,                0.47041,                 1.2764,                0.00109,                0.00109,                0.00109
                    137,                0.88868,                0.39543,                 1.0315,                0.97509,                0.93266,                0.97587,                0.65099,                 1.2747,                0.46343,                 1.2822,               0.001024,               0.001024,               0.001024
                    138,                0.88534,                0.39483,                 1.0308,                0.96718,                0.94249,                0.97829,                0.64982,                 1.2719,                  0.462,                  1.284,               0.000958,               0.000958,               0.000958
                    139,                0.87552,                0.39369,                 1.0263,                0.96672,                0.93771,                0.97756,                0.65069,                  1.273,                0.45831,                 1.2855,               0.000892,               0.000892,               0.000892
