                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1714,                0.57418,                 1.1536,                0.89094,                0.90559,                0.92472,                0.57095,                 1.3219,                0.61152,                 1.2466,               0.008416,               0.008416,               0.008416
                     82,                 1.1549,                0.56824,                 1.1586,                0.90217,                0.90173,                0.92658,                0.57862,                 1.3088,                0.58241,                 1.2465,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1638,                0.56743,                 1.1527,                0.90993,                 0.9149,                0.94288,                0.59897,                 1.2983,                0.57885,                 1.2459,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1559,                0.56479,                 1.1477,                0.88983,                0.91037,                0.92229,                 0.5743,                 1.3148,                0.60041,                 1.2524,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.1459,                0.55761,                 1.1571,                0.88872,                0.91426,                0.92434,                0.58232,                 1.3025,                0.58933,                 1.2444,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1564,                0.56213,                 1.1539,                0.91574,                0.90045,                0.93193,                0.58632,                 1.3117,                0.58153,                 1.2527,               0.008317,               0.008317,               0.008317
                     87,                 1.1475,                0.56647,                 1.1486,                 0.9215,                0.90474,                0.95034,                0.59913,                 1.3013,                 0.5749,                 1.2467,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.1477,                0.55854,                 1.1506,                0.89949,                0.92582,                0.93068,                0.58736,                 1.2849,                0.56494,                 1.2396,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.1454,                0.56128,                 1.1484,                0.89792,                0.91908,                0.91484,                0.57059,                 1.2893,                0.58039,                 1.2335,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.1426,                0.55714,                 1.1438,                0.91014,                0.91618,                0.93353,                0.58507,                 1.2855,                0.56615,                 1.2304,              0.0082378,              0.0082378,              0.0082378
